rank_by_apps,name,appearances,goals,position,nationality,born,player_id
91,David Seaman,344,0,Goalkeeper,England,19 September 1963,110008
92,Jamie Vardy,342,145,Centre Striker,England,11 January 1987,11259
93,Nick Barmby,342,53,Centre Central Midfielder,England,11 February 1974,4977
94,Tim Sherwood,341,37,Midfielder,England,6 February 1969,352904
95,Darren Fletcher,341,23,Centre Central Midfielder,Scotland,1 February 1984,156961
96,James Tarkowski,340,12,Centre Central Defender,England,19 November 1992,314846
97,Joe Hart,340,0,Goalkeeper,England,19 April 1987,289224
98,Virgil van Dijk,339,31,Centre Central Defender,Netherlands,8 July 1991,92622
99,Steed Malbranque,336,39,Left/Centre/Right Attacking Midfielder,France,6 January 1980,8768
100,Kenny Cunningham,335,0,Defender,Ireland,28 June 1971,2828
101,Son Heung-Min,333,127,Left/Centre/Right Winger,South Korea,8 July 1992,20239
102,Hermann Hreidarsson,332,14,Defender,Iceland,11 July 1974,176377
103,Andy Robertson,332,12,Left Full Back,Scotland,11 March 1994,785377
104,James Beattie,331,91,Centre Striker,England,27 February 1978,9736
105,Jason Dodd,329,9,Defender,England,2 November 1970,352800
106,Mohamed Salah,328,193,Left/Centre/Right Winger,Egypt,15 June 1992,47184
107,Denis Irwin,328,18,Defender,Ireland,31 October 1965,3386
108,Willian,327,47,Left/Right Winger,Brazil,9 August 1988,735582
109,Graeme Le Saux,327,12,Defender,England,17 October 1968,110013
110,Michael Owen,326,150,Centre Striker,England,14 December 1979,6476
111,Kevin Campbell,325,83,Forward,England,4 February 1970,3744
112,Gary McAllister,325,49,Midfielder,Scotland,25 December 1964,2428
113,Matthew Taylor,325,40,Midfielder,England,27 November 1981,55847
114,Antonio Valencia,325,24,Right Full Back,Ecuador,4 August 1985,25370
115,Kevin Kilbane,325,15,Midfielder,Ireland,1 February 1977,178305
116,Gaël Clichy,325,3,Left Full Back,France,26 July 1985,52622
117,Gary Kelly,325,2,Defender,Ireland,9 July 1974,704
118,James McArthur,323,23,Central Midfielder,Scotland,7 October 1987,52229
119,Martin Keown,323,4,Centre Central Defender,England,24 July 1966,110016
120,Gabriel Agbonlahor,322,74,Left/Centre Striker,England,13 October 1986,39503
121,Robert Huth,322,21,Centre Central Defender,Germany,18 August 1984,32264
122,William Gallas,321,25,Defender,France,17 August 1977,54991
123,John Arne Riise,321,21,Left Full Back,Norway,24 September 1980,15706
124,Harry Kane,320,213,Striker,England,28 July 1993,344721
125,Alex Iwobi,320,35,Left/Centre/Right Second Striker,Nigeria,3 May 1996,346851
126,Darren Anderton,319,37,Midfielder,England,3 March 1972,3471
127,Paul Telfer,319,7,Defender,Scotland,21 October 1971,12313
128,Gylfi Sigurdsson,318,67,Midfielder,Iceland,8 September 1989,736198
129,Sami Hyypiä,318,22,Defender,Finland,7 October 1973,2140
130,Peter Atherton,318,9,Defender,England,6 April 1970,2311
131,Ryan Shawcross,316,14,Centre Central Defender,England,4 October 1987,166767
132,Ben Davies,316,11,Left Full Back,Wales,24 April 1993,14111
133,Dennis Bergkamp,315,87,Forward,Netherlands,10 May 1969,1107
134,Shaun Wright-Phillips,315,32,Left/Right Winger,England,25 October 1981,115063
135,Wayne Bridge,315,3,Left Full Back,England,5 August 1980,11905
136,Declan Rice,313,25,Centre Central Midfielder,England,14 January 1999,342058
137,Edwin van der Sar,313,0,Goalkeeper,Netherlands,29 October 1970,110391
138,Dion Dublin,312,111,Forward,England,22 April 1969,353071
139,Aaron Cresswell,312,10,Defender,England,15 December 1989,738342
140,Ian Walker,312,0,Goalkeeper,England,31 October 1971,3823
141,James Morrison,311,32,Midfielder,Scotland,25 May 1986,39500
142,Christian Eriksen,310,55,Attacking Midfielder,Denmark,14 February 1992,751914
143,Marc Albrighton,310,20,Left/Right Winger,England,18 November 1989,337842
144,Peter Schmeichel,310,1,Goalkeeper,Denmark,18 November 1963,143575
145,David Silva,309,60,Left/Centre/Right Attacking Midfielder,Spain,8 January 1986,189086
