rank_by_apps,name,appearances,goals,position,nationality,born,player_id
1079,Amadou Onana,114,8,Centre Defensive Midfielder,Belgium,16 August 2001,361427
1080,Keane Lewis-Potter,114,7,Striker,England,22 February 2001,317507
1081,José Holebas,114,5,Defender,Greece,27 June 1984,269592
1082,Gilles Grimandi,114,4,Defender,France,11 November 1970,1534
1083,James Garner,114,3,Centre Central Midfielder,England,13 March 2001,338756
1084,Nigel Worthington,114,3,Defender,Northern Ireland,4 November 1961,3655
1085,Erland Johnsen,114,1,Defender,Norway,5 April 1967,97
1086,Richard Hughes,114,0,Centre Central Midfielder,Scotland,25 June 1979,10061
1087,Kaoru Mitoma,113,23,Forward,Japan,20 May 1997,289869
1088,Andreas Weimann,113,17,Forward,Austria,5 August 1991,777042
1089,Sam Vokes,113,17,Forward,Wales,21 October 1989,737474
1090,Dango Ouattara,113,16,Left/Right Winger,Burkina Faso,11 February 2002,740540
1091,Kevin Lisbie,113,14,Centre Striker,Jamaica,17 October 1978,261158
1092,Thiago Silva,113,8,Centre Central Defender,Brazil,22 September 1984,334773
1093,Sèrge Aurier,113,6,Right Full Back,Cote D’Ivoire,24 December 1992,356787
1094,Linvoy Primus,113,3,Centre/Right Central Defender,England,14 September 1973,3330
1095,Matheus Nunes,113,3,Centre Central Midfielder,Portugal,27 August 1998,346778
1096,Diego Costa,112,53,Striker,Spain,7 October 1988,327260
1097,John Spencer,112,36,Forward,Scotland,11 September 1970,2033
1098,Paul Rideout,112,29,Forward,England,14 August 1964,189
1099,Hassan Kachloul,112,16,Midfielder,Morocco,19 February 1973,3445
1100,Jadon Sancho,112,12,Left/Right Winger,England,25 March 2000,741621
1101,Wes Hoolahan,112,12,Left/Centre Central Midfielder,Ireland,20 May 1982,186991
1102,John Sheridan,112,7,Midfielder,Ireland,1 October 1964,1592
1103,Ricardo Pereira,112,7,Right Full Back,Portugal,6 October 1993,129749
1104,David Linighan,112,4,Defender,England,9 January 1965,198
1105,David Jones,112,3,Central Defender,England,4 November 1984,294164
1106,José Bosingwa,112,3,Right Wing Back,Portugal,24 August 1982,9368
1107,Kristoffer Ajer,112,3,Centre Central Defender,Norway,17 April 1998,310499
1108,Djimi Traore,112,0,Left Full Back,Mali,1 March 1980,121145
1109,Rui Patrício,112,0,Goalkeeper,Portugal,15 February 1988,363472
1110,Charlie Austin,111,34,Centre Striker,England,5 July 1989,97353
1111,Carl Cort,111,28,Forward,Guyana,1 November 1977,29520
1112,Fabio Borini,111,16,Left/Centre/Right Second Striker,Italy,29 March 1991,756407
1113,Casemiro,111,15,Centre Central Midfielder,Brazil,23 February 1992,323846
1114,Allan Saint-Maximin,111,12,Left Winger,France,12 March 1997,361056
1115,Josh Brownhill,111,6,Centre Central Midfielder,England,19 December 1995,180093
1116,Dickson Etuhu,111,4,Centre Defensive Midfielder,Nigeria,8 June 1982,9949
1117,Gary Ablett,111,4,Defender,England,19 November 1965,41775
1118,Kenny Tete,111,3,Right Full Back,Netherlands,9 October 1995,314795
1119,Ryan Bennett,111,3,Centre Central Defender,England,6 March 1990,335971
1120,Ali Al Habsi,111,0,Goalkeeper,Oman,30 December 1981,166127
1121,Richard Wright,111,0,Goalkeeper,England,5 November 1977,25111
1122,Luis Suárez,110,69,Centre Striker,Uruguay,24 January 1987,354910
1123,Djibril Cissé,110,32,Centre Striker,France,12 August 1981,9595
1124,Nigel Clough,110,20,Midfielder,England,19 March 1966,1796
1125,Diomansy Kamara,110,17,Forward,Senegal,8 November 1980,29893
1126,Lucas Paquetá,110,16,Centre Attacking Midfielder,Brazil,27 August 1997,325037
1127,Saïd Benrahma,110,15,Forward,Algeria,10 August 1995,740085
1128,Thomas Vermaelen,110,13,Centre Central Defender,Belgium,14 November 1985,171637
1129,Jo Tessem,110,12,Midfielder,Norway,28 February 1972,2186
1130,Rodrigo Bentancur,110,9,Centre Central Midfielder,Uruguay,25 June 1997,302775
1131,Romain Saïss,110,9,Centre Central Defender,Morocco,26 March 1990,355414
1132,Sandro,110,4,Centre Defensive Midfielder,Brazil,15 March 1989,728705
1133,Martin Taylor,110,3,Defender,England,9 November 1979,12848
1134,Tino Livramento,110,2,Right Full Back,England,12 November 2002,344361
1135,Andrew Taylor,110,0,Left Full Back,England,1 August 1986,46953
1136,Ola Aina,109,5,Right Full Back,Nigeria,8 October 1996,342617
1137,Rafael,109,5,Right Full Back,Brazil,9 July 1990,331828
1138,DeAndre Yedlin,109,2,Right Full Back,United States,9 July 1993,312091
1139,Joseph O'Brien,109,2,Right Full Back,Ireland,17 February 1986,23566
1140,Ainsley Maitland-Niles,109,1,Centre/Right Wing Back,England,29 August 1997,344429
1141,Dale Stephens,109,1,Centre Central Midfielder,England,12 June 1989,256106
1142,Geraint Williams,109,1,Defender,Wales,5 January 1962,195
1143,Manuel Almunia,109,0,Goalkeeper,Spain,19 May 1977,12484
1144,Gordon Watson,108,23,Forward,England,20 March 1971,1055
1145,Gavin Peacock,108,17,Midfielder,England,18 November 1967,2784
1146,Aliaksandr Hleb,108,8,Left/Centre/Right Attacking Midfielder,Belarus,1 May 1981,113848
1147,Mark Kinsella,108,5,Midfielder,Ireland,12 August 1972,2808
1148,Christian Kabasele,108,4,Central Defender,Belgium,24 February 1991,791899
1149,Barry Ferguson,108,3,Central Midfielder,Scotland,2 February 1978,9977
1150,Darren Williams,108,2,Defender,England,28 April 1977,176673
1151,Arthur Masuaku,108,1,Left Full Back,DR Congo,7 November 1993,740108
1152,Ryan Babel,107,17,Left/Right Winger,Netherlands,19 December 1986,339060
1153,Pape Matar Sarr,107,8,Centre Central Midfielder,Senegal,14 September 2002,314125
1154,Jonny,107,6,Right Full Back,Spain,3 March 1994,739054
1155,Michael Thomas,107,6,Midfielder,England,24 August 1967,253
1156,Mike Milligan,107,5,Midfielder,England,20 February 1967,1021
1157,Ian Holloway,107,4,Midfielder,England,12 March 1963,353148
1158,Carl Tiler,107,3,Defender,England,11 February 1970,1840
1159,Davy Pröpper,107,2,Centre Central Midfielder,Netherlands,2 September 1991,114730
1160,Kiko Femenía,107,2,Right Wing Back,Spain,2 February 1991,320599
1161,Roger Johnson,107,2,Centre Central Defender,England,28 April 1983,14450
1162,Craig Forrest,107,0,Goalkeeper,Canada,20 September 1967,1759
1163,Illan Meslier,107,0,Goalkeeper,France,2 March 2000,785902
1164,Hamilton Ricard,106,31,Forward,Colombia,12 January 1974,1942
1165,Sylvain Wiltord,106,31,Forward,France,10 May 1974,174170
1166,Roberto Pereyra,106,16,Central Midfielder,Argentina,7 January 1991,741081
1167,Matej Vydra,106,11,Forward,Czech Republic,1 May 1992,337217
1168,Gerry Taggart,106,9,Defender,Northern Ireland,18 October 1970,353326
1169,Richard Hall,106,9,Defender,England,14 March 1972,1504
1170,Jan Paul van Hecke,106,4,Central Defender,Netherlands,8 June 2000,785371
1171,Ian Crook,106,3,Midfielder,England,18 January 1963,367
1172,Rico Henry,106,3,Left Full Back,Jamaica,8 July 1997,36581
1173,Callum Davidson,106,2,Defender,Scotland,25 June 1976,30078
1174,Daniel Amartey,106,2,Centre Central Defender,Ghana,21 December 1994,342774
1175,Toti Gomes,106,2,Centre Central Defender,Portugal,16 January 1999,300707
1176,Vurnon Anita,106,2,Centre Defensive Midfielder,Curacao,4 April 1989,256907
1177,Rodrigo,105,27,Centre Striker,Spain,6 March 1991,194758
1178,Andrey Arshavin,105,23,Left/Centre/Right Attacking Midfielder,Russia,29 May 1981,7906
1179,Michael Ballack,105,17,Centre Central Midfielder,Germany,26 September 1976,126372
1180,Dominik Szoboszlai,105,15,Left/Centre/Right Attacking Midfielder,Hungary,25 October 2000,340932
1181,Alan Thompson,105,14,Midfielder,England,22 December 1973,278335
1182,Lee Chung-Yong,105,8,Midfielder,South Korea,2 July 1988,267759
1183,Ray Houghton,105,8,Midfielder,Ireland,6 January 1962,937
1184,Claudio Reyna,105,7,Midfielder,United States,20 July 1973,3288
1185,David Wheater,105,7,Centre Central Defender,England,14 February 1987,161184
1186,Anderson,105,5,Left/Centre Central Midfielder,Brazil,13 April 1988,172570
1187,Scott Minto,105,4,Defender,England,6 August 1971,353269
1188,Valon Behrami,105,4,Centre Defensive Midfielder,Switzerland,19 April 1985,281277
1189,Shaun Teale,105,2,Defender,England,10 March 1964,42057
1190,Francis Coquelin,105,0,Defensive Midfielder,France,13 May 1991,735864
1191,Chris Kiwomya,104,21,Forward,England,2 December 1969,896
1192,Dean Windass,104,17,Forward,England,1 April 1969,4987
1193,Jonny Howson,104,8,Midfielder,England,21 May 1988,740197
1194,Jesper Grønkjaer,104,7,Left/Right Winger,Denmark,12 August 1977,98936
1195,Danny Drinkwater,104,4,Midfielder,England,5 March 1990,291459
1196,Kieran Tierney,104,4,Left Full Back,Scotland,5 June 1997,17423
1197,Tariq Lamptey,104,3,Defender,Ghana,30 September 2000,786086
1198,John Oster,104,2,Midfielder,Wales,8 December 1978,10935
1199,Mike Whitlow,104,2,Defender,England,13 January 1968,1589
1200,Ulises de la Cruz,104,2,Defender,Ecuador,8 February 1974,4286
1201,Nigel de Jong,104,1,Defensive Midfielder,Netherlands,30 November 1984,141936
1202,Bryan Gunn,104,0,Goalkeeper,Scotland,22 December 1963,356
1203,Tony Coton,104,0,Goalkeeper,England,19 May 1961,1467
1204,Luis Díaz,103,29,Left/Right Winger,Colombia,13 January 1997,739477
1205,Uwe Rösler,103,29,Forward,Germany,15 November 1968,2494
1206,Marouane Chamakh,103,15,Centre Striker,Morocco,10 January 1984,40569
1207,Kiernan Dewsbury-Hall,103,11,Central Midfielder,England,6 September 1998,739761
1208,Neil Clement,103,7,Left/Centre Central Defender,England,3 October 1978,3071
1209,Danny Guthrie,103,4,Centre Central Midfielder,England,18 April 1987,161327
1210,David Meyler,103,4,Centre Central Midfielder,Ireland,29 May 1989,154751
1211,Andy Myers,103,2,Defender,England,3 November 1973,2070
1212,Marcus Hall,103,1,Left Full Back,England,24 March 1976,29995
1213,Patrick Bamford,102,24,Forward,England,5 September 1993,761778
1214,André Ayew,102,21,Forward,Ghana,17 December 1989,353926
1215,Kevin Schade,102,21,Left/Right Winger,Germany,27 November 2001,340456
1216,Alex Rae,102,12,Midfielder,Scotland,30 September 1969,29972
1217,Adam Armstrong,102,8,Centre Striker,England,10 February 1997,776268
1218,Georgi Kinkladze,102,7,Midfielder,Georgia,6 July 1973,2114
1219,Shkodran Mustafi,102,7,Centre Central Defender,Germany,17 April 1992,289743
1220,Gary Caldwell,102,6,Centre Central Defender,Scotland,12 April 1982,5510
1221,Zanka,102,5,Centre Central Defender,Denmark,23 April 1990,362873
1222,Michel Vorm,102,0,Goalkeeper,Netherlands,20 October 1983,166315
1223,Tammy Abraham,101,28,Centre Striker,England,2 October 1997,775774
1224,Craig Hignett,101,19,Forward,England,12 January 1970,3266
1225,John Wark,101,13,Defender,Scotland,4 August 1957,196
1226,João Palhinha,101,12,Defensive Midfielder,Portugal,9 July 1995,739655
1227,George Boyd,101,9,Winger,Scotland,2 October 1985,261659
1228,Bradley Johnson,101,6,Centre Central Midfielder,England,28 April 1987,343644
1229,Chris Coleman,101,6,Defender,Wales,10 June 1970,1119
1230,Stefan Schwarz,101,5,Midfielder,Sweden,18 April 1969,2207
1231,Alexander Tettey,101,4,Centre Defensive Midfielder,Norway,4 April 1986,6363
1232,Andy Johnson,101,2,Midfielder,Wales,2 May 1974,3084
1233,Oliver Skipp,101,1,Centre Central Midfielder,England,16 September 2000,363134
1234,Alexander Isak,100,57,Centre Striker,Sweden,21 September 1999,741642
1235,David White,100,26,Midfielder,England,30 October 1967,42015
1236,Marc Overmars,100,25,Midfielder,Netherlands,29 March 1973,127268
1237,Odsonne Édouard,100,18,Centre Striker,France,16 January 1998,751850
1238,Armando Broja,100,9,Striker,Albania,10 September 2001,739994
1239,Gianluca Festa,100,8,Defender,Italy,15 March 1969,1430
1240,John Robinson,100,6,Midfielder,Wales,29 August 1971,352995
1241,Andy Pearce,100,4,Defender,England,20 April 1966,1318
1242,Jannik Vestergaard,100,4,Centre Central Defender,Denmark,3 August 1992,287385
1243,Milos Kerkez,100,4,Left Full Back,Hungary,7 November 2003,737233
1244,Igor Stimac,100,3,Defender,Croatia,6 September 1967,2255
1245,André Gomes,100,2,Centre Central Defender,Portugal,30 July 1993,365036
1246,Andy Melville,100,2,Defender,Wales,29 November 1968,353124
1247,Salif Diao,100,2,Centre Defensive Midfielder,Senegal,10 February 1977,5095
1248,Magnus Hedman,100,0,Goalkeeper,Sweden,19 March 1973,4166
1249,Demba Ba,99,43,Forward,Senegal,25 May 1985,279905
1250,Paul Kitson,99,28,Forward,England,9 January 1971,1508
1251,Brett Ormerod,99,12,Forward,England,18 October 1976,13618
1252,David N'Gog,99,12,Centre Striker,France,1 April 1989,9354
1253,Robbie Blake,99,11,Left/Centre/Right Attacking Midfielder,England,4 March 1976,5678
1254,Lys Mousset,99,9,Centre Striker,France,8 February 1996,338506
1255,Richard Jobson,99,8,Defender,England,9 May 1963,2543
1256,Anders Limpar,99,7,Midfielder,Sweden,24 September 1965,42092
1257,Richard Rufus,99,6,Defender,England,12 January 1975,1846
1258,Ryan Gravenberch,99,6,Centre Central Midfielder,Netherlands,16 May 2002,346846
1259,Harvey Elliott,99,5,Left/Centre/Right Attacking Midfielder,England,4 April 2003,741620
1260,Jimmy Phillips,99,3,Midfielder,England,8 February 1966,1148
1261,Craig Fleming,99,1,Defender,England,6 October 1971,3662
1262,Javier Mascherano,99,1,Centre Central Defender,Argentina,8 June 1984,6895
1263,Johan Djourou,99,1,Centre Central Defender,Switzerland,18 January 1987,119807
1264,Lee Chapman,98,23,,England,5 December 1959,26053
1265,Christian Pulisic,98,20,Left/Centre/Right Attacking Midfielder,United States,18 September 1998,342046
1266,Scott Sellars,98,9,Midfielder,England,27 November 1965,1149
1267,João Cancelo,98,5,Right Full Back,Portugal,27 May 1994,346821
1268,Çaglar Söyüncü,98,4,Central Defender,Turkiye,23 May 1996,359616
1269,Carl Bradshaw,98,3,Midfielder,England,10 February 1968,1019
1270,Gary Charles,98,3,Defender,England,13 April 1970,2256
1271,Gaël Givet,98,3,Left/Centre Central Defender,France,9 October 1981,5279
1272,Rob Holding,98,2,Central Defender,England,20 September 1995,735503
1273,Chris Basham,98,1,Centre Central Defender,England,20 July 1988,15123
1274,John Jensen,98,1,Midfielder,Denmark,3 May 1965,145641
1275,Nampalys Mendy,98,1,Midfielder,Senegal,23 June 1992,740901
1276,Beto,97,20,Centre Striker,Guinea-Bissau,31 January 1998,346391
1277,Matt Jansen,97,19,Forward,England,20 October 1977,3836
1278,Mustapha Hadji,97,14,Midfielder,Morocco,16 November 1971,127422
1279,Allan Nielsen,97,12,Midfielder,Denmark,13 March 1971,1499
1280,Oliver Norwood,97,2,Midfielder,Northern Ireland,12 April 1991,363274
1281,Paul McShane,97,2,Defender,Ireland,6 January 1986,288664
1282,Tim Ream,97,2,Left/Centre Central Defender,United States,5 October 1987,19300
1283,Armand Traore,97,1,Left Full Back,Senegal,8 October 1989,94346
1284,Ronnie Wallwork,97,1,Defender,England,10 September 1977,3075
1285,Heidar Helguson,96,28,Forward,Iceland,22 August 1977,97506
1286,Leonardo Ulloa,96,19,Centre Striker,Argentina,26 July 1986,168961
1287,Oliver McBurnie,96,13,Forward,Scotland,4 June 1996,739776
1288,Ademola Lookman,96,11,Winger,Nigeria,20 October 1997,785485
1289,Aaron Mooy,96,9,Centre Central Midfielder,Australia,15 September 1990,320028
1290,Philippe Albert,96,8,Defender,Belgium,10 August 1967,1010
1291,Gordon Strachan,96,7,Midfielder,Scotland,9 February 1957,925
1292,Denilson,96,6,Centre Central Midfielder,Brazil,16 February 1988,115279
1293,Jason Koumas,96,6,Centre Central Midfielder,Wales,25 September 1979,12447
1294,Leandro Bacuna,96,6,Midfielder,Curacao,21 August 1991,335372
1295,Mick Stockwell,96,5,Midfielder,England,14 February 1965,208
1296,Olivier Dacourt,96,5,Midfielder,France,25 September 1974,100438
1297,Vinny Samways,96,5,Midfielder,England,27 October 1968,946
1298,Dara O'Shea,96,3,Centre Central Defender,Ireland,4 March 1999,363354
1299,Nigel Quashie,96,3,Midfielder,Scotland,20 July 1978,41994
1300,John Polston,96,1,Defender,England,10 June 1968,357
1301,Phil Whelan,96,1,Defender,England,7 August 1972,1227
1302,Christophe Berra,96,0,Left/Centre Central Defender,Scotland,31 January 1985,11146
1303,Gary Walsh,96,0,Goalkeeper,England,21 March 1968,4042
1304,Darwin Núñez,95,25,Centre Striker,Uruguay,24 June 1999,312801
1305,Collins John,95,20,Forward,Netherlands,17 October 1985,175292
1306,David Nugent,95,14,Centre Striker,England,2 May 1985,268649
1307,Damien Francis,95,11,Midfielder,Jamaica,27 February 1979,4390
1308,Stefano Eranio,95,7,Midfielder,Italy,29 December 1966,1647
1309,Dean Marney,95,4,Centre Central Midfielder,England,31 January 1984,134422
1310,Yehor Yarmoliuk,95,1,Centre Attacking Midfielder,Ukraine,1 March 2004,333368
1311,Bart Verbruggen,95,0,Goalkeeper,Netherlands,18 August 2002,340943
1312,Mido,94,22,Centre Striker,Egypt,23 February 1983,126259
1313,Hal Robson-Kanu,94,14,Left/Centre/Right Second Striker,Wales,21 May 1989,35863
1314,Gastón Ramírez,94,9,Midfielder,Uruguay,2 December 1990,299750
1315,Andy King,94,8,Centre Central Midfielder,Wales,29 October 1988,277791
1316,Jérémie Aliadière,94,8,Forward,France,30 March 1983,4698
1317,Ricardo Vaz Tê,94,8,Left/Centre/Right Second Striker,Portugal,1 October 1986,20638
1318,Darron Gibson,94,5,Centre Central Midfielder,Ireland,25 October 1987,271271
1319,Mike Marsh,94,5,Midfielder,England,21 July 1969,42027
1320,Calvin Bassey,94,3,Left Full Back,Nigeria,31 December 1999,343384
1321,Harry Arter,94,3,Midfielder,Ireland,28 December 1989,348195
1322,John Collins,94,3,Midfielder,Scotland,31 January 1968,2677
1323,Mads Roerslev,94,2,Defender,Denmark,24 June 1999,740599
1324,Tom Carroll,94,2,Midfielder,England,28 May 1992,736305
1325,John Pantsil,94,0,Defender,Ghana,15 June 1981,178443
1326,Roy Carroll,94,0,Goalkeeper,Northern Ireland,30 September 1977,14928
1327,Danny Dichio,93,19,Forward,England,19 October 1974,353106
1328,Noni Madueke,93,16,Right Winger,England,10 March 2002,738680
1329,James Scowcroft,93,14,Forward,England,15 November 1975,98169
1330,Danny Cadamarteri,93,13,Striker,England,12 October 1979,10436
1331,Graham Fenton,93,13,Forward,England,22 May 1974,1688
1332,Daniel Podence,93,12,Left Winger,Portugal,21 October 1995,263914
1333,Jamie O'Hara,93,9,Centre Central Midfielder,England,25 September 1986,155657
1334,Phil Stamp,93,6,Midfielder,England,12 December 1975,345
1335,Luke Ayling,93,4,Right Full Back,England,25 August 1991,359145
1336,Carl Jenkinson,93,3,Right Full Back,England,8 February 1992,728600
1337,Murillo,93,3,Left/Centre Central Defender,Brazil,4 July 2002,346775
1338,Malo Gusto,93,2,Right Full Back,France,19 May 2003,338125
1339,Mark Kennedy,93,2,Defender,Ireland,15 May 1976,27849
1340,Sam Ricketts,93,1,Left/Right Full Back,Wales,11 October 1981,19042
1341,Steve Palmer,93,1,Defender,England,31 March 1968,353217
1342,Allan Nyom,93,0,Right Full Back,Cameroon,10 May 1988,310090
1343,Andreas Christensen,93,0,Centre Central Defender,Denmark,10 April 1996,315360
1344,Guglielmo Vicario,93,0,Goalkeeper,Italy,7 October 1996,340670
1345,Julian Speroni,93,0,Goalkeeper,Argentina,18 May 1979,21225
1346,Max Aarons,93,0,Defender,England,4 January 2000,740861
1347,Thomas Myhre,93,0,Goalkeeper,Norway,16 October 1973,3838
1348,Obafemi Martins,92,28,Centre Striker,Nigeria,28 October 1984,154132
1349,Mark Robins,92,25,Forward,England,22 December 1969,985
1350,Nathan Blake,92,23,Forward,Wales,27 January 1972,3409
1351,Mike Sheron,92,18,Forward,England,11 January 1972,42042
1352,Joseph-Desire Job,92,16,Forward,Cameroon,1 December 1977,2479
1353,Christian Ziege,92,14,Defender,Germany,1 February 1972,2766
1354,Neil Adams,92,12,Midfielder,England,23 November 1965,756
1355,Darren Ambrose,92,11,Centre/Right Central Midfielder,England,29 February 1984,19031
1356,Sean Flynn,92,8,Midfielder,England,13 March 1968,42037
1357,Fabrice Fernandes,92,5,Midfielder,France,29 October 1979,4076
1358,Ben Johnson,92,3,Right Full Back,England,24 January 2000,361626
1359,Carlos Baleba,92,3,Centre Central Midfielder,Cameroon,3 January 2004,346421
1360,Chris Richards,92,3,Centre Central Defender,United States,28 March 2000,320542
1361,Sasa Lukic,92,2,Central Midfielder,Serbia,13 August 1996,791922
1362,Kalvin Phillips,92,1,Centre Defensive Midfielder,England,2 December 1995,785345
1363,Fabien Barthez,92,0,Goalkeeper,France,28 June 1971,278804
1364,Michael Ricketts,91,21,Forward,England,4 December 1978,98409
1365,Pedro Obiang,91,3,Centre Central Midfielder,Equatorial Guinea,27 March 1992,738878
1366,Steve Harkness,91,3,Defender,England,27 August 1971,244
1367,Mohamed Elneny,91,1,Centre Defensive Midfielder,Egypt,11 July 1992,163773
1368,Wesley Fofana,91,1,Centre Central Defender,France,17 December 2000,325335
1369,Savo Milosevic,90,29,Forward,Serbia,2 September 1973,127332
1370,Leroy Sané,90,25,Right Winger,Germany,11 January 1996,737763
1371,Taiwo Awoniyi,90,21,Centre Striker,Nigeria,12 August 1997,313792
1372,Jimmy Bullard,90,15,Midfielder,England,23 October 1978,176855
1373,Steve Sedgley,90,13,Defender,England,26 May 1968,952
1374,Mile Jedinak,90,6,Centre Central Midfielder,Australia,3 August 1984,32086
1375,Marc Rieper,90,5,Defender,Denmark,5 June 1968,1063
1376,Daley Blind,90,4,Left Full Back,Netherlands,9 March 1990,341543
1377,Konstantinos Mavropanos,90,4,Centre Central Defender,Greece,11 December 1997,345765
1378,Alberto Moreno,90,3,Left Full Back,Spain,5 July 1992,739156
1379,Joe Parkinson,90,3,Midfielder,England,11 June 1971,694
1380,Anthony Barness,90,0,Defender,England,25 February 1973,28003
1381,Mick Harford,89,19,Forward,England,12 February 1959,1076
1382,Yoan Gouffran,89,11,Left/Right Winger,France,25 May 1986,6353
1383,Noé Pamarot,89,4,Centre Central Defender,France,14 April 1979,101018
1384,Javier Garrido,89,2,Right Full Back,Spain,15 March 1985,106041
1385,Barry Venison,89,1,Defender,England,16 August 1964,1269
1386,Clinton Morrison,88,15,Centre Striker,Ireland,14 May 1979,14643
1387,Shaun Maloney,88,15,Left/Centre/Right Attacking Midfielder,Scotland,24 January 1983,19405
1388,David Platt,88,13,Midfielder,England,10 June 1966,1105
1389,Jérémy Doku,88,11,Left/Right Winger,Belgium,27 May 2002,345865
1390,Horacio Carbonari,88,8,Defender,Argentina,2 May 1973,1886
1391,Pedro Mendes,88,6,Centre Defensive Midfielder,Portugal,26 February 1979,99964
1392,Peter Whittingham,88,4,Left/Centre Central Midfielder,England,8 September 1984,48281
1393,Teemu Tainio,88,3,Centre Defensive Midfielder,Finland,27 November 1979,18373
1394,Boubacar Kamara,88,2,Centre Defensive Midfielder,France,23 November 1999,372086
1395,Craig Gordon,88,0,Goalkeeper,Scotland,31 December 1982,324715
1396,Didier Zokora,88,0,Centre Central Midfielder,Cote D’Ivoire,14 December 1980,9689
1397,Michael Bridges,87,22,Forward,England,5 August 1978,4989
1398,Timo Werner,87,12,Centre Striker,Germany,6 March 1996,355268
1399,Steve Walsh,87,8,Defender,England,3 November 1964,969
1400,Tommy Smith,87,6,Striker,England,22 May 1980,14325
1401,Trond Egil Soltvedt,87,5,Midfielder,Norway,15 February 1967,182907
1402,Fábio Aurélio,87,3,Left Full Back,Brazil,24 September 1979,4203
1403,Gareth Hall,87,3,Defender,Wales,20 March 1969,1472
1404,Nicolás Domínguez,87,3,Centre Central Midfielder,Argentina,28 June 1998,347497
1405,Ian Brightwell,87,1,Defender,England,9 April 1968,1875
1406,Paul Parker,87,1,Defender,England,4 April 1964,1336
1407,Jack Butland,87,0,Goalkeeper,England,10 March 1993,785462
1408,Roque Santa Cruz,86,26,Centre Striker,Paraguay,16 August 1981,105449
1409,Justin Kluivert,86,21,Left/Right Winger,Netherlands,5 May 1999,340631
1410,Jon Stead,86,14,Centre Striker,England,7 April 1983,167572
1411,Talal El Karkouri,86,8,Defender,Morocco,8 July 1976,3509
1412,Adel Taarabt,86,7,Centre Attacking Midfielder,Morocco,24 May 1989,25594
1413,Alex,86,7,Centre Central Defender,Brazil,17 June 1982,114973
1414,Yerry Mina,86,7,Centre Central Defender,Colombia,23 September 1994,737642
1415,Mark Davies,86,5,Centre Attacking Midfielder,England,18 February 1988,4908
1416,Scott Arfield,86,5,Midfielder,Canada,1 November 1988,360799
1417,Sven Botman,86,3,Central Defender,Netherlands,12 January 2000,729220
1418,Barry Bannan,86,2,Midfielder,Scotland,1 December 1989,775922
1419,Fitz Hall,86,2,Centre Central Defender,England,20 December 1980,12491
1420,Paul Beesley,86,2,Defender,England,21 July 1965,41897
1421,Paul Bracewell,86,1,Midfielder,England,19 July 1962,1477
1422,Nils-Eric Johansson,86,0,Defender,Sweden,13 January 1980,3247
1423,Ivan Toney,85,36,Centre Striker,England,16 March 1996,202655
1424,Bryan Roy,85,24,Forward,Netherlands,12 February 1970,784920
1425,Morgan Rogers,85,21,Attacking Midfielder,England,26 July 2002,786118
1426,Jarrad Branthwaite,85,5,Defender,England,27 June 2002,367718
1427,Manuel Akanji,85,2,Central Defender,Switzerland,19 July 1995,786106
1428,Matz Sels,85,0,Goalkeeper,Belgium,26 February 1992,356625
1429,Nyron Nosworthy,85,0,Centre Central Defender,Jamaica,11 October 1980,19100
1430,Sam Johnstone,85,0,Goalkeeper,England,25 March 1993,363723
1431,Jan Åge Fjørtoft,84,25,Forward,Norway,10 January 1967,1566
1432,Mohammed Kudus,84,15,Midfielder,Ghana,2 August 2000,738357
1433,Neil Redfearn,84,14,Midfielder,England,20 June 1965,2073
1434,Hatem Ben Arfa,84,13,Left/Centre/Right Attacking Midfielder,France,7 March 1987,301328
1435,Mark Atkins,84,12,Midfielder,England,14 September 1968,42090
1436,Crysencio Summerville,84,10,Left Winger,Netherlands,30 October 2001,362225
1437,Jeremy Goss,84,9,Midfielder,Wales,11 May 1965,368
1438,Martin Laursen,84,8,Defender,Denmark,26 July 1977,3462
1439,Keith Andrews,84,7,Central Midfielder,Ireland,13 September 1980,14849
1440,Naby Keïta,84,7,Central Midfielder,Guinea,10 February 1995,774035
1441,Gary Doherty,84,6,Centre Central Defender,Ireland,31 January 1980,12616
1442,Jayden Bogle,84,6,Right Full Back,England,27 July 2000,361345
1443,David Vaughan,84,5,Centre Central Midfielder,Wales,18 February 1983,131176
1444,Pervis Estupiñán,84,4,Left Full Back,Ecuador,21 January 1998,738999
1445,Robbie Slater,84,4,Midfielder,Australia,22 November 1964,1460
1446,Ray Wilkins,84,3,Midfielder,England,14 September 1956,1083
1447,Steven Caldwell,84,3,Centre Central Defender,Scotland,12 September 1980,120446
1448,Adlène Guédioura,84,2,Centre Central Midfielder,Algeria,12 November 1985,304889
1449,Lewis Hall,84,2,Left Full Back,England,8 September 2004,359413
1450,Emil Krafth,84,1,Right Full Back,Sweden,2 August 1994,349514
1451,Abdoulaye Méité,84,0,Defender,Cote D’Ivoire,6 October 1980,41593
1452,Mason Greenwood,83,22,Right Winger,England,1 October 2001,361200
1453,Josko Gvardiol,83,11,Left/Centre Central Defender,Croatia,23 January 2002,343671
1454,Joe Ledley,83,6,Centre Central Midfielder,Wales,23 January 1987,273167
1455,Jean-Ricner Bellegarde,83,5,Centre Central Midfielder,Haiti,27 June 1998,346853
1456,Antolín Alcáraz,83,3,Centre Central Defender,Paraguay,30 July 1982,106124
1457,George Baldock,83,2,Right Full Back,Greece,9 March 1993,364205
